album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,11,5wZAXZNGHMkTYuHEjNuQBD,Duniya Chale Na Shri Ram Ke Bina,spotify:track:5wZAXZNGHMkTYuHEjNuQBD,0.606,0.766,0.894,0,0.091,-3.126,0.0959,145.956,0.929,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,12,2KwhvDmd1pfAUl52QUETDo,Gayatri Mantra (Om Bhur Bhuvah Swaha),spotify:track:2KwhvDmd1pfAUl52QUETDo,0.898,0.439,0.239,3.67E-06,0.0871,-10.885,0.0321,91.004,0.206,6
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,13,6K7AscdOoUKPpZ62kuHAqi,Govind Bolo Hari Gopal Bolo - Krishna Dhuni,spotify:track:6K7AscdOoUKPpZ62kuHAqi,0.5,0.489,0.687,1.27E-05,0.0978,-8.73,0.0453,87.137,0.828,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,14,2nNSCNXQLKE7VxbHhMcMc4,Govind Jai Jai Gopal Jai Jai - Krishna Dhuni,spotify:track:2nNSCNXQLKE7VxbHhMcMc4,0.121,0.693,0.795,0,0.141,-9.284,0.158,120.086,0.706,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,15,69aGn7YOzJdn6LWzPC6L00,Graha Sampatti Praapti Mantra(To Gain Property and Wealth),spotify:track:69aGn7YOzJdn6LWzPC6L00,0.963,0.279,0.138,1.35E-05,0.294,-10.492,0.0398,81.457,0.353,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,16,1XC2kryNgKqQT92xYnFg2V,Hare Krishna Hare Krishna Krishna Mantra,spotify:track:1XC2kryNgKqQT92xYnFg2V,0.216,0.62,0.638,0,0.116,-8.837,0.0324,94.013,0.831,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,17,5X3Ujeavxu0fDCVmzoLPOh,Hey Ram Hey Ram - Shree Ram Dhun - Tribute to Jagjit Singh,spotify:track:5X3Ujeavxu0fDCVmzoLPOh,0.562,0.607,0.55,0,0.0624,-10.364,0.0282,90.002,0.7,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,18,1bQzh5Di6QspWZSkdZBnjL,Jag Mein Sunder Hain Do Naam - Rama Krishna Bhajan,spotify:track:1bQzh5Di6QspWZSkdZBnjL,0.335,0.548,0.591,0,0.106,-10.291,0.0515,87.139,0.81,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,19,6WjqvaDnNB9ko9mBX6eNhB,Jai Hanuman Gyan Gun Saagar (Hanumanji Chalis),spotify:track:6WjqvaDnNB9ko9mBX6eNhB,0.448,0.35,0.827,0,0.235,-9.206,0.0762,108.124,0.726,17
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,20,2vS54dpHDpiKA0FVUDtDhT,Jai Jai Shanideva Bhaktan Hitkari (Aarti Shani Dev Ki),spotify:track:2vS54dpHDpiKA0FVUDtDhT,0.491,0.77,0.498,0,0.0824,-8.298,0.0312,152.004,0.539,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,21,6ZPJC01V9xyAs6ac2x7adK,Jaise Suraj Ki Garmi Se - Nirgun Bhajan,spotify:track:6ZPJC01V9xyAs6ac2x7adK,0.151,0.754,0.533,0,0.0572,-11.19,0.033,94.984,0.81,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,22,6U3QDR47UkyVsUVqavRsO0,Lakshmi Prasannaarth Mantra (To Please Goddess Laxmi),spotify:track:6U3QDR47UkyVsUVqavRsO0,0.609,0.676,0.482,0.000268,0.214,-8.928,0.0314,132.788,0.547,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,23,2SC93JdCwyynIjwnGiWa13,Maha Mrityunjaya Mantra (Om Tryambakam Yajamahe Shiv Mantra),spotify:track:2SC93JdCwyynIjwnGiWa13,0.885,0.487,0.398,0.00302,0.0847,-10.331,0.0425,159.332,0.39,7
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,24,5FReFqyHagElDWokIq46rY,Mahalakshmi Namastubhyam (Maha Laxmi Mantra),spotify:track:5FReFqyHagElDWokIq46rY,0.983,0.488,0.308,0,0.0811,-9.6,0.0392,139.529,0.411,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,25,2DZprciftcyiu34nRd6sRQ,Maiya Mori Main Nahi Makhan - Bal Krishna Yashoda Bhajan,spotify:track:2DZprciftcyiu34nRd6sRQ,0.191,0.66,0.679,0,0.0876,-8.257,0.0556,85.381,0.797,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,26,56C00dwiF7CVcoY1SDAWg5,Mangalam Bhagwan Vishnu Mangalam Garudadhwaja - Narayana Mantra,spotify:track:56C00dwiF7CVcoY1SDAWg5,0.679,0.756,0.748,0,0.0363,-5.526,0.0353,136.083,0.806,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,27,6bMp95EdaDZ5e0Ui2yDgdK,Namo Ari Hantanam (Namokar Mantra Bhagwan Mahavir Jain),spotify:track:6bMp95EdaDZ5e0Ui2yDgdK,0.862,0.563,0.624,0,0.0778,-5.888,0.039,153.919,0.778,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,28,1aqx3NDSywTu5hjI4N8512,Nand Ke Anand Bhayo Jai Kanhaiya Lal Ki - Janamashtami Matki Fod Bhajan,spotify:track:1aqx3NDSywTu5hjI4N8512,0.213,0.454,0.827,0,0.0699,-5.609,0.0952,142.599,0.691,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,29,5XlHOzTy3BsnTNTXS5BmZq,Nish Din Namoon Ganpati Charan (Ganesh Ji Bhajan),spotify:track:5XlHOzTy3BsnTNTXS5BmZq,0.627,0.702,0.435,0,0.185,-11.997,0.0371,143.015,0.845,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,30,7cnP2qjq79c6ODYrJU1giW,Om Gan Ganpatye Namo Namah (Ganesh Mantra),spotify:track:7cnP2qjq79c6ODYrJU1giW,0.685,0.792,0.774,0,0.0351,-5.961,0.034,136.013,0.961,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,31,7u0j2irj5UqmerUTzoWz0y,Om Jai Ambe Gauri (Aarti Maa Durga Ji,spotify:track:7u0j2irj5UqmerUTzoWz0y,0.78,0.639,0.58,0,0.165,-9.089,0.0395,87.369,0.843,21
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,32,5rT1tSeb5TSgasnL2r1UAc,Om Jai Gange Mata (Aarti Ganga Maiya Ki),spotify:track:5rT1tSeb5TSgasnL2r1UAc,0.816,0.435,0.352,0,0.376,-17.373,0.0473,163.99,0.864,6
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,33,2f7YqqcH6PTO5QwF7g1rTB,Om Jai Jagdish Hare (Aarti Vishnu Ji Ki),spotify:track:2f7YqqcH6PTO5QwF7g1rTB,0.828,0.589,0.657,0,0.342,-6.381,0.0341,93.08,0.862,13
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,34,6EsgDaM3rpBYvbJhRYNtgp,Om Jai Lakshmi Mata (Aarti Laxmi Ji Ki),spotify:track:6EsgDaM3rpBYvbJhRYNtgp,0.721,0.388,0.329,0,0.186,-18.279,0.0524,167.818,0.798,11
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,35,00vU0XLuUHD8aSYiDxyGoe,Om Jai Santoshi Mata (Aarti Santoshi Mata Ki),spotify:track:00vU0XLuUHD8aSYiDxyGoe,0.764,0.693,0.46,0,0.251,-12.662,0.0367,93.57,0.888,7
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,36,03nT7JhLAtKCjWQXDbwd5o,Om Jai Shiv Onkara (Aarti Shivji Ki),spotify:track:03nT7JhLAtKCjWQXDbwd5o,0.739,0.593,0.512,0,0.18,-12.974,0.0316,90.944,0.828,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,37,7fOMifE8JOVjTipSS92ZPz,Om Jai Shiv Shakti Hare (Aarti Mahadev Shankar Ji Ki),spotify:track:7fOMifE8JOVjTipSS92ZPz,0.828,0.684,0.517,0,0.377,-9.525,0.0352,105.356,0.794,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,38,55W7FRtlyEkhVPR9mBiqwg,Om Namo Bhagwate Vasudevaye Namah (Vishnu Mantra),spotify:track:55W7FRtlyEkhVPR9mBiqwg,0.985,0.37,0.433,0,0.134,-10.541,0.0395,50.639,0.294,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,39,5iI6ftQVd5y9l3qmKfC73p,Om Sai Namo Namah - Shirdi Waley Baba Mantra,spotify:track:5iI6ftQVd5y9l3qmKfC73p,0.676,0.746,0.755,0,0.0364,-6.839,0.0337,136.006,0.958,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,40,6deK06MN9ZQVUUEGnJtXzj,Payoji Maine Ram Ratan Dhan - Rama Bhajan by Meera,spotify:track:6deK06MN9ZQVUUEGnJtXzj,0.196,0.392,0.643,0,0.436,-8.859,0.0515,85.882,0.856,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,41,0ZMJdJfNJBo2IKru5FzZpR,Radhe Krishna Radhe Krishna - Radhe Krishan Dhuni,spotify:track:0ZMJdJfNJBo2IKru5FzZpR,0.806,0.451,0.607,0,0.117,-5.737,0.0467,199.82,0.841,0
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,42,7LAvxoMWfNwg6fon02J76I,Raghupati Raghav Raja Ram - Rama Mantra by Mahatma Gandhi,spotify:track:7LAvxoMWfNwg6fon02J76I,0.796,0.486,0.489,0,0.118,-14.709,0.0391,85.485,0.748,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,43,51gpaZV7Vwl2Xuu7JsygEF,Rang De Chunariya Shyam Piya Mori - Radha Krishna Holi Bhajan,spotify:track:51gpaZV7Vwl2Xuu7JsygEF,0.164,0.551,0.67,0,0.0461,-10.999,0.104,170.167,0.891,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,44,60O6ACGrOZRCaEAFKDHPH1,Sai Ram Sai Ram (Shirdi Wale Baba Ki Dhuni),spotify:track:60O6ACGrOZRCaEAFKDHPH1,0.42,0.6,0.655,1.93E-06,0.0752,-7.356,0.0359,208.055,0.812,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,45,3OtFG8WQNvTu6M9CswRQ9y,Shaanti Mantra (For Inner Peace),spotify:track:3OtFG8WQNvTu6M9CswRQ9y,0.75,0.546,0.475,0,0.163,-8.141,0.0293,131.143,0.447,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,46,1KU3sOxgyR5rnS6gkAudZ1,Shri Krishna Govind Hare Murari - Krishan Narayan Dhuni,spotify:track:1KU3sOxgyR5rnS6gkAudZ1,0.129,0.642,0.493,0,0.0986,-9.228,0.0337,93.981,0.695,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,47,5vkz47YyRLyckEkITC1VKw,Shri Ramchandra Kripalu Bhajuman - Rama Stuti,spotify:track:5vkz47YyRLyckEkITC1VKw,0.523,0.638,0.436,3.89E-06,0.0891,-12.657,0.0359,149.936,0.807,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,48,63OCfmDeq9aJl9aUoDbvSc,Shriman Narayan Narayan Narayan - Vishnu Dhuni,spotify:track:63OCfmDeq9aJl9aUoDbvSc,0.295,0.637,0.53,0,0.0997,-9.995,0.0472,90.001,0.681,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,49,5l5gWon7rc6q1c9ksJ1Enm,Sukhkarta Dukhharta - Ganesh Siddhivinayak Ji Ki Aarti,spotify:track:5l5gWon7rc6q1c9ksJ1Enm,0.822,0.79,0.744,0,0.103,-6.265,0.028,98.011,0.966,1
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,50,0J1GiYvd1gt2FbgCVmGCDS,Vakratunda Mahakaay Suryakoti Samaprabha - Shri Ganesh Mantra,spotify:track:0J1GiYvd1gt2FbgCVmGCDS,0.643,0.734,0.688,0,0.0355,-6.522,0.0408,135.994,0.878,2
Pavitra Saicharitra Padavali,1,395mVri3FgxlJ13D5F0jFu,Tum To Nayan Ki Jyot Ho,spotify:track:395mVri3FgxlJ13D5F0jFu,0.52,0.535,0.631,0,0.0525,-7.346,0.0341,80.114,0.689,5
Pavitra Saicharitra Padavali,2,0fJB4u3iNV4R87d85A3pvf,Do Akshar Ka Naam Sai Ka,spotify:track:0fJB4u3iNV4R87d85A3pvf,0.366,0.588,0.603,0,0.0709,-7.453,0.0361,86.664,0.664,5
Pavitra Saicharitra Padavali,3,2U8rWzsdWXOwHWlno7TYFh,Sai Hai Shraddha,spotify:track:2U8rWzsdWXOwHWlno7TYFh,0.327,0.546,0.625,0,0.298,-8.36,0.0447,100.2,0.751,5
Pavitra Saicharitra Padavali,4,5EjIqj0Eqz1ym7RD1TJZfE,Tumhi Adi Ho Tumhi Ant Ho,spotify:track:5EjIqj0Eqz1ym7RD1TJZfE,0.564,0.338,0.674,0,0.289,-7.268,0.0375,177.491,0.873,4
Pavitra Saicharitra Padavali,5,7hrfKJLYQZMFTbEvZW9RrQ,Jag Mein Sancha Hai,spotify:track:7hrfKJLYQZMFTbEvZW9RrQ,0.421,0.63,0.532,0.000141,0.129,-7.485,0.0318,92.503,0.764,4
Pavitra Saicharitra Padavali,6,14CEeqJr8y9gXr2d4BxNP2,Kehle Manwa Sai Sai,spotify:track:14CEeqJr8y9gXr2d4BxNP2,0.506,0.561,0.619,1.43E-06,0.231,-8.768,0.0352,83.983,0.904,4
Pavitra Saicharitra Padavali,7,1Uniyd3PdA4MMpgheEtN6Y,Sheetal Jal Barsao Sai,spotify:track:1Uniyd3PdA4MMpgheEtN6Y,0.509,0.643,0.516,0,0.0748,-6.78,0.0301,134.956,0.752,4
Pavitra Saicharitra Padavali,8,3bGX4uNoNRPMkMbZ3IhnFm,Tan To Sai Ko Arpan Hai,spotify:track:3bGX4uNoNRPMkMbZ3IhnFm,0.489,0.424,0.589,1.19E-06,0.107,-6.986,0.0352,149.973,0.787,3
"Bhor Bhaye, Vol. 1",1,0wEcRJdb1Wl2HV8WSWKEVd,Gaiye Ganpati Gungan,spotify:track:0wEcRJdb1Wl2HV8WSWKEVd,0.414,0.393,0.588,8.67E-05,0.444,-12.563,0.0386,171.015,0.734,3
"Bhor Bhaye, Vol. 1",2,4HwDZDyCeYQbJ8Q5cMq7nD,Jagdambe Bhavani,spotify:track:4HwDZDyCeYQbJ8Q5cMq7nD,0.357,0.549,0.575,2.56E-05,0.485,-12.255,0.0371,108.381,0.658,3
"Bhor Bhaye, Vol. 1",3,06n2fGrZmeSCIkoPlytmRf,Chalo Chalo Shivji Ke Dwar,spotify:track:06n2fGrZmeSCIkoPlytmRf,0.453,0.618,0.652,1.19E-06,0.587,-12.671,0.0486,118.217,0.797,3
"Bhor Bhaye, Vol. 1",4,1nxqXUFMrGRvGjCpAvOu8T,Ishwar Ke Gun Gaata Nhi,spotify:track:1nxqXUFMrGRvGjCpAvOu8T,0.281,0.522,0.588,3.64E-06,0.186,-12.666,0.0389,106.39,0.709,2
"Bhor Bhaye, Vol. 1",5,2Jp1epcJhcnCjNOuWL7D31,Tere Poojan Ko Bhagwan,spotify:track:2Jp1epcJhcnCjNOuWL7D31,0.579,0.525,0.563,0.00101,0.361,-12.737,0.0785,120.561,0.705,2
"Bhor Bhaye, Vol. 1",6,3OVpZ0RCdULuX1CkrPVyYS,Jako Raakhe Saaiyan,spotify:track:3OVpZ0RCdULuX1CkrPVyYS,0.414,0.458,0.533,0.00799,0.664,-12.403,0.0584,88.274,0.655,2
"Bhor Bhaye, Vol. 1",7,7sqAZibtp73YTauj3p3HHS,Jhini Jhini Re,spotify:track:7sqAZibtp73YTauj3p3HHS,0.452,0.628,0.642,0.000666,0.389,-11.886,0.0459,88.783,0.884,2
"Bhor Bhaye, Vol. 1",8,7lHjeXVal3ZtgBWzNmctzI,Ajhoon Nikashe Pran,spotify:track:7lHjeXVal3ZtgBWzNmctzI,0.598,0.459,0.559,0.000523,0.368,-12.851,0.0618,146.908,0.711,2
"Bhor Bhaye, Vol. 1",9,40ihEEAVY6opPy088c8Ao4,Samajh Boojh Dil,spotify:track:40ihEEAVY6opPy088c8Ao4,0.43,0.477,0.436,2.59E-05,0.815,-13.227,0.0403,79.294,0.544,2
"Bhor Bhaye, Vol. 1",10,4UtuySPfcGoY5r2gvYXi6k,Jaag Surati Ab Kahe,spotify:track:4UtuySPfcGoY5r2gvYXi6k,0.763,0.536,0.477,4.70E-05,0.483,-13.462,0.055,79.201,0.644,2
"Bhor Bhaye, Vol. 1",11,5eSGodZdqR1DLuBM3wcIEU,Ab Kaise Choote,spotify:track:5eSGodZdqR1DLuBM3wcIEU,0.762,0.543,0.475,0.000205,0.4,-13.548,0.198,83.658,0.581,2
"Bhor Bhaye, Vol. 1",12,20tSlICCiVMsLnN0P39xZq,Bhaj Le Re Man Ram Ram,spotify:track:20tSlICCiVMsLnN0P39xZq,0.589,0.617,0.683,0.000127,0.401,-12.32,0.0498,89.549,0.88,2
Shree Hanuman Chalisa,1,5hb4S1G39QY2NOKfRNrAqL,Mangal Moorti Nandan,spotify:track:5hb4S1G39QY2NOKfRNrAqL,0.706,0.414,0.509,0,0.0914,-10.268,0.028,91.245,0.757,11
Shree Hanuman Chalisa,2,2HDoLUUwTGLDOYf8YJbGFW,He Bajrang Bali Hanuman,spotify:track:2HDoLUUwTGLDOYf8YJbGFW,0.758,0.477,0.479,0,0.222,-10.447,0.0286,94.783,0.655,2
Shree Hanuman Chalisa,3,6lJXmIakihjWSQHo7egTFQ,Pawansut Hanuman Barambaar,spotify:track:6lJXmIakihjWSQHo7egTFQ,0.715,0.44,0.728,0,0.0786,-8.494,0.0429,90.24,0.666,3
Shree Hanuman Chalisa,4,0meMzFiNFQoCmjA6cJR7Fx,Jai Jai Hanuman Gosain,spotify:track:0meMzFiNFQoCmjA6cJR7Fx,0.851,0.404,0.282,0,0.0809,-12.29,0.0335,84.046,0.557,11
Shree Hanuman Chalisa,6,5qruT9HL1Jme6hhcAxjMsb,Sankatmochan Hanumanashtak,spotify:track:5qruT9HL1Jme6hhcAxjMsb,0.728,0.475,0.382,0,0.162,-11.098,0.0422,95.105,0.645,3
Shree Hanuman Chalisa,7,3Wua0UbrrqoBQbrqFR7odk,Hanumanji Ki Aarti,spotify:track:3Wua0UbrrqoBQbrqFR7odk,0.564,0.444,0.38,0,0.563,-10.759,0.0294,92.703,0.691,8
